13,-9,-255
18,-1,-269
24,-7,-298
27,-17,-319
24,-32,-321
16,-30,-294
12,-20,-266
15,-9,-257
18,-1,-270
25,-10,-300
27,-18,-317
24,-31,-321
15,-30,-292
9,-20,-264
15,-7,-256
16,-3,-276
25,-9,-305
27,-19,-320
25,-30,-318
14,-31,-292
9,-20,-266
15,-8,-257
16,-1,-271
22,-4,-302
28,-17,-320
23,-31,-317
16,-29,-289
8,-19,-262
16,-7,-257
19,-1,-275
24,-8,-302
28,-18,-319
24,-29,-317
14,-31,-288
10,-21,-264
18,-8,-256
20,-4,-276
23,-8,-303
26,-20,-320
24,-31,-317
15,-28,-289
9,-20,-262
17,-9,-258
18,-2,-273
24,-7,-301
28,-20,-321
24,-32,-321
16,-31,-291
9,-20,-264
17,-8,-257
20,-3,-273
24,-6,-303
27,-19,-320
22,-31,-319
14,-30,-289
9,-17,-263
17,-7,-260
19,-2,-272
27,-7,-301
26,-20,-320
22,-31,-316
14,-29,-289
10,-20,-263
18,-8,-257
19,0,-278
24,-8,-305
26,-19,-320
24,-32,-317
16,-30,-286
11,-19,-264
17,-5,-258
19,-2,-275
26,-8,-306
26,-20,-320
24,-32,-315
14,-28,-287
11,-21,-264
19,-6,-259
18,-1,-276
24,-9,-306
27,-23,-320
23,-31,-315
16,-31,-284
11,-18,-263
17,-7,-255
20,-4,-277
25,-6,-305
28,-21,-320
22,-31,-315
14,-27,-286
11,-18,-262
17,-6,-259
19,-1,-273
26,-9,-305
26,-23,-323
22,-32,-314
14,-29,-285
11,-20,-260
19,-7,-255
20,-3,-278
25,-9,-306
26,-21,-322
22,-34,-316
14,-29,-285
15,-20,-264
16,-5,-258
19,-1,-279
25,-9,-308
27,-23,-320
24,-34,-314
15,-29,-284
9,-16,-264
17,-6,-254
21,-2,-280
25,-7,-307
26,-22,-317
21,-33,-312
12,-31,-285
12,-19,-262
18,-5,-257
19,-2,-280
